word,hiragana,meaning,romaji,score,used,day
～ように,～ように,"～하도록, ～처럼",you_ni,60,true,DAY 015
～ために,～ために,～하기 위해서,tame_ni,60,true,DAY 015
～のに,～のに,"～인데도, ～하는 데",noni,60,true,DAY 015
～ばかり,～ばかり,"～만, ～뿐",bakari,70,true,DAY 014
～ところ,～ところ,"～하는 중, ～한 참",tokoro,60,true,DAY 016
～はずです,～はずです,～일 것이다,hazu_desu,100,true,DAY 001
～わけです,～わけです,"～라는 뜻이다, ～인 셈이다",wake_desu,100,true,DAY 001
～わけではない,～わけではない,～라는 것은 아니다,wake_dewa_nai,60,true,DAY 016
～わけがない,～わけがない,～할 리가 없다,wake_ga_nai,60,true,DAY 016
～ようだ,～ようだ,～인 것 같다,you_da,60,true,DAY 016
～みたいだ,～みたいだ,～같다,mitai_da,100,true,DAY 002
～らしい,～らしい,"～답다, ～인 것 같다",rashii,60,true,DAY 017
～そうだ,～そうだ,"～라고 한다, ～인 것 같다",sou_da,60,true,DAY 017
～べきだ,～べきだ,～해야 한다,beki_da,100,true,DAY 002
～ことにする,～ことにする,～하기로 하다,koto_ni_suru,60,true,DAY 018
～ことになる,～ことになる,～하게 되다,koto_ni_naru,60,true,DAY 018
～によると,～によると,～에 따르면,ni_yoru_to,100,true,DAY 003
～として,～として,～로서,toshite,60,true,DAY 019
～に対して,～にたいして,"～에 대해, ～에 반해",ni_taishite,60,true,DAY 019
～について,～について,～에 대해서,ni_tsuite,60,true,DAY 020
～ように,～ように,～하도록,youni,60,true,DAY 020
～ようになる,～ようになる,～하게 되다,youninaru,60,true,DAY 021
～ようにする,～ようにする,～하도록 하다,younisuru,60,true,DAY 021
～ことになる,～ことになる,～하게 되다,kotoninaru,60,true,DAY 022
～ことにする,～ことにする,～하기로 하다,kotonisuru,60,true,DAY 022
～ことがある,～ことがある,～한 적이 있다,kotogaaru,60,true,DAY 023
～ことはない,～ことはない,～할 필요는 없다,kotowanai,60,true,DAY 023
～ために,～ために,～하기 위해,tameni,60,true,DAY 024
～ため,～ため,～때문에,tame,100,true,DAY 003
～ばかりいる,～ばかりいる,～만 하고 있다,bakariiru,100,true,DAY 004
～たばかり,～たばかり,～한 지 얼마 안 되다,tabakari,60,true,DAY 024
～ところだ,～ところだ,～하려는 참이다,tokoroda,100,true,DAY 004
～ているところだ,～ているところだ,～하는 중이다,teirutokoroda,100,true,DAY 005
～たところだ,～たところだ,～한 참이다,tatokoroda,100,true,DAY 005
～てしまう,～てしまう,～해 버리다,teshimau,60,true,DAY 025
～ておく,～ておく,～해 두다,teoku,60,true,DAY 025
～てみる,～てみる,～해 보다,temiru,60,true,DAY 026
～ていく,～ていく,～해 가다,teiku,60,true,DAY 026
～てくる,～てくる,～해 오다,tekuru,60,false,
～そうだ(전문),～そうだ,～라고 한다,souda,100,true,DAY 006
～ようだ,～ようだ,～인 것 같다,youda,60,false,
～みたいだ,～みたいだ,～같다,mitaida,100,true,DAY 006
～かもしれない,～かもしれない,～일지도 모른다,kamoshirenai,60,false,
～に違いない,～にちがいない,～임에 틀림없다,nichigainai,60,false,
～はずだ,～はずだ,～일 것이다,hazuda,60,false,
～はずがない,～はずがない,～일 리가 없다,hazuganai,60,false,
～わけだ,～わけだ,"～라는 것이다, ～인 셈이다",wakeda,60,false,
～わけではない,～わけではない,～인 것은 아니다,wakedewanai,60,false,
～という,～という,～라고 하는,toiu,70,true,DAY 015
～といっても,～といっても,～라고 해도,toittemo,60,false,
～によると,～によると,～에 따르면,niyoruto,100,true,DAY 007
