word,hiragana,meaning,romaji,score,used,day
ああ,ああ,아!,aa,50,false,
会う,あう,"만나다, 보다",au,60,true,DAY 004
青,あお,"파랑, 파란색",ao,50,false,
青い,あおい,"파랗다, 파란색의",aoi,60,true,DAY 005
赤,あか,"빨강, 빨간색",aka,50,false,
赤い,あかい,"빨갛다, 빨간색의",akai,50,false,
明るい,あかるい,"밝다 (성격이나 날씨와 관련하여), 쾌활한",akarui,60,true,DAY 005
秋,あき,가을 (계절),aki,60,true,DAY 005
開く,あく,"열리다, 비다",aku,70,true,DAY 001
開ける,あける,열다 (동사),akeru,60,true,DAY 005
上げる,あげる,들어올리다,ageru,50,false,
朝,あさ,아침,asa,60,true,DAY 005
朝御飯,あさごはん,아침,asagohan,50,false,
明後日,あさって,내일 모레,asatte,60,true,DAY 006
足; 脚,あし,"발, 다리",ashi,50,false,
明日,あした,내일,ashita,60,true,DAY 006
あそこ,あそこ,"저기, 그 곳",asoko,60,true,DAY 006
遊ぶ,あそぶ,"놀다, 즐겁게 시간을 보내다, 어울리다",asobu,60,true,DAY 006
暖かい,あたたかい,따뜻한,atatakai,60,true,DAY 006
頭,あたま,머리,atama,60,true,DAY 007
新しい,あたらしい,새로운,atarashii,60,true,DAY 007
あちら,あちら,이쪽으로 (정중하게),achira,50,false,
暑い,あつい,"덥다(날씨에 따라), 따뜻하다",atsui,60,true,DAY 007
熱い,あつい,뜨거운 (물체),atsui_2,60,true,DAY 007
厚い,あつい,"친절한, 따뜻한(마음이)두꺼운, 깊은",atsui_3,60,true,DAY 007
あっち,あっち,저기,atchi,50,false,
後,あと,"나중에 (나중에), 미래에, 나머지, 그 이후로",ato,60,true,DAY 008
あなた,あなた,너,anata,60,true,DAY 008
兄,あに,(나의) 형 (겸손하다),ani,60,true,DAY 008
姉,あね,(나의) 누나 (겸손하다),ane,60,true,DAY 008
アパート,アパート,아파트 (약어),apaato,60,true,DAY 008
あの,あの,"저기 그거, 그렇게, 음...",ano,50,false,
浴びる,あびる,"목욕하다, 샤워하다",abiru,60,true,DAY 009
危ない,あぶない,"위험한, 중대한",abunai,60,true,DAY 009
