word,hiragana,meaning,romaji,score,used,day
現像,げんぞう,현상(필름),genzou,50,false,
原則,げんそく,"원칙, 일반 규칙",gensoku,70,false,
見地,けんち,관점,kenchi,50,false,
現地,げんち,"실제 장소, 현지",genchi,60,false,
限定,げんてい,제한,gentei,60,false,
原点,げんてん,"원점(좌표, 시작점)",genten,50,false,
原典,げんてん,"원본, 소스",genten_2,50,false,
原爆,げんばく,원자폭탄,genbaku,50,false,
原文,げんぶん,"본문, 원본",genbun,50,false,
厳密,げんみつ,"엄격한, 가까운",genmitsu,60,false,
賢明,けんめい,"지혜, 총명, 신중함",kenmei,50,false,
倹約,けんやく,절약,kenyaku,50,false,
原油,げんゆ,원유,genyu,50,false,
兼用,けんよう,"다용도, 복합용",kenyou,50,false,
権力,けんりょく,"(정치적) 권력, 권위, 영향력",kenryoku,60,false,
言論,げんろん,"토론, 연설",genron,50,false,
故～,こ～,"사망하다, 늦다",ko～,50,false,
語彙,ごい,"어휘, 용어집",goi,50,false,
恋する,こいする,"사랑에 빠지다, 사랑하다",koisuru,50,false,
甲,こう,"순위 1위, 껍데기",kou,50,false,
～光,～こう,빛,～kou,60,false,
好意,こうい,"선의, 호의, 예의",koui,60,false,
行為,こうい,"행위, 행실",koui_2,60,false,
合意,ごうい,"동의, 상호 이해",goui,50,false,
工学,こうがく,공학,kougaku,50,false,
抗議,こうぎ,"항의, 반대",kougi,60,false,
合議,ごうぎ,"상담, 컨퍼런스",gougi,50,false,
皇居,こうきょ,황궁,koukyo,50,false,
好況,こうきょう,"번영하는 환경, 건강한 경제",koukyou,50,false,
鉱業,こうぎょう,광업,kougyou,50,false,
興業,こうぎょう,"사업 시작, 산업",kougyou_2,50,false,
高原,こうげん,고원,kougen,50,false,
交互,こうご,"상호적인, 대체적인",kougo,50,false,
煌々と,こうこうと,밝게,koukouto,50,false,
考古学,こうこがく,고고학,koukogaku,50,false,
工作,こうさく,"수공예품, 기동",kousaku,60,false,
耕作,こうさく,"재배, 농업",kousaku_2,50,false,
鉱山,こうざん,내 거,kouzan,50,false,
講習,こうしゅう,"단기 코스, 훈련",koushuu,50,false,
口述,こうじゅつ,구두 진술,koujutsu,50,false,
控除,こうじょ,"보조금, 공제",koujo,50,false,
交渉,こうしょう,협상,koushou,60,false,
高尚,こうしょう,"높은, 고귀한, 세련된",koushou_2,50,false,
向上,こうじょう,"상승, 개선, 진보",koujou,60,false,
行進,こうしん,"행진, 퍼레이드",koushin,50,false,
香辛料,こうしんりょう,향료,koushinryou,50,false,
降水,こうすい,강수량,kousui,50,false,
洪水,こうずい,홍수,kouzui,50,false,
合成,ごうせい,"합성, 혼합",gousei,60,false,
公然,こうぜん,공공연히,kouzen,50,false,
抗争,こうそう,"분쟁, 저항",kousou,50,false,
構想,こうそう,"계획, 음모, 아이디어, 개념",kousou_2,50,false,
後退,こうたい,"후퇴, 백스페이스",koutai,50,false,
光沢,こうたく,"광택, 윤기있는 마무리 (사진)",koutaku,50,false,
公団,こうだん,공기업,koudan,50,false,
好調,こうちょう,"만족스럽습니다, 상태 좋습니다",kouchou,60,false,
口頭,こうとう,경구,koutou,50,false,
講読,こうどく,독서,koudoku,50,false,
購読,こうどく,신청,koudoku_2,50,false,
購入,こうにゅう,구매하다,kounyuu,70,false,
公認,こうにん,"공식 인정, 승인",kounin,50,false,
光熱費,こうねつひ,연료비와 조명비,kounetsuhi,60,false,
購買,こうばい,구매하다,koubai,50,false,
好評,こうひょう,"인기, 호평",kouhyou,50,false,
交付,こうふ,"배달, 제공(사본 포함)",koufu,50,false,
公募,こうぼ,"대중 호소, 대중 기여",koubo,50,false,
巧妙,こうみょう,"독창적인, 능숙한, 영리한",koumyou,50,false,
公用,こうよう,"정부 사업, 공공 사용, 공공 비용",kouyou,50,false,
小売,こうり,소매,kouri,60,false,
効率,こうりつ,능률,kouritsu,70,false,
公立,こうりつ,공기,kouritsu_2,60,false,
護衛,ごえい,"경비병, 호송대, 호위대",goei,50,false,
コーナー,コーナー,모서리,koonaa,50,false,
小柄,こがら,"작은, 아주 작은",kogara,60,false,
小切手,こぎって,"수표, 확인하다",kogitte,50,false,
国産,こくさん,국내 제품,kokusan,50,false,
国定,こくてい,"국가 후원, 국가",kokutei,50,false,
告白,こくはく,"고백, 인정",kokuhaku,50,false,
国防,こくぼう,국방,kokubou,50,false,
国有,こくゆう,국가 소유권,kokuyuu,50,false,
極楽,ごくらく,천국,gokuraku,50,false,
国連,こくれん,유엔,kokuren,50,false,
焦げ茶,こげちゃ,진한 갈색,kogecha,50,false,
語源,ごげん,"단어 어근, 단어 파생, 어원",gogen,50,false,
心地,ここち,"느낌, 감각, 기분",kokochi,50,false,
心得,こころえ,"지식, 정보",kokoroe,50,false,
心掛け,こころがけ,"준비, 의도, 목표",kokorogake,50,false,
心掛ける,こころがける,"염두에 두다, ～을 목표로 삼다",kokorogakeru,50,false,
志,こころざし,"의지, 의도, 동기",kokorozashi,50,false,
志す,こころざす,"계획하다, 의도하다, 열망하다",kokorozasu,50,false,
心強い,こころづよい,"격려하는, 안심시키는",kokorozuyoi,60,false,
心細い,こころぼそい,"무기력한, 절망적인, 낙담시키는",kokorobosoi,50,false,
試み,こころみ,"재판, 실험",kokoromi,60,false,
試みる,こころみる,"시도하다, 테스트하다",kokoromiru,60,false,
快い,こころよい,기분 좋은,kokoroyoi,60,false,
誤差,ごさ,오류,gosa,50,false,
ございます (かん),ございます (かん),"(존재하다, 정중하다)",gozaimasu_(kan),50,false,
孤児,こじ,유아,koji,50,false,
こじれる,こじれる,"복잡해지다, 악화되다",kojireru,50,false,
こす (みずを～),こす (みずを～),"걸러내다, 여과하다",kosu_(mizuwo～),50,false,
梢,こずえ,나무 꼭대기,kozue,50,false,
個性,こせい,"개성, 특이성",kosei,70,false,
戸籍,こせき,"인구 조사, 호적",koseki,50,false,
古代,こだい,상대,kodai,50,false,
こたつ,こたつ,"히터가 있는 테이블, (원래) 바닥 우물에 숯불 화로",kotatsu,50,false,
こだわる,こだわる,"소란을 피우다, 특별히 신경쓰다",kodawaru,50,false,
誇張,こちょう,과장,kochou,50,false,
こつ (をつかむ),こつ (をつかむ),"비밀, 트릭, 교수형",kotsu_(wotsukamu),50,false,
滑稽,こっけい,"재미있다, 유머러스하다, 우스꽝스럽다",kokkei,50,false,
国交,こっこう,외교관계,kokkou,50,false,
骨董品,こっとうひん,진품,kottouhin,50,false,
固定,こてい,"고정, 고정(예: ​​급여, 자본)",kotei,70,false,
事柄,ことがら,"문제, 일, 사건, 상황",kotogara,60,false,
孤独,こどく,"고립, 외로움, 고독",kodoku,70,false,
ことごとく,ことごとく,"전적으로, 완전히",kotogotoku,60,false,
言付け,ことづけ,메시지를 남기려고,kotozuke,50,false,
殊に,ことに,"특히, 무엇보다도",kotoni,50,false,
粉々,こなごな,아주 작은 조각으로,konagona,50,false,
好ましい,このましい,"좋다, 마음에 든다, 바람직하다",konomashii,60,false,
碁盤,ごばん,탑승,goban,50,false,
個別,こべつ,특별한 경우,kobetsu,60,false,
ごまかす,ごまかす,"속이다, 위조하다, 허위로 나타내다",gomakasu,50,false,
細やか,こまやか,"빈약한, 겸손한",komayaka,60,false,
コマーシャル,コマーシャル,광고,komaasharu,50,false,
込める,こめる,"포함시키다, 넣다",komeru,50,false,
コメント,コメント,논평,komento,50,false,
籠もる,こもる,"자신을 격리시키다, 가둬두다",komoru,50,false,
固有,こゆう,"독특한, 전통, 특이한",koyuu,50,false,
暦,こよみ,"달력, 연감",koyomi,50,false,
