word,hiragana,meaning,romaji,score,used,day
～に違いない,～にちがいない,～임에 틀림없다,ni_chigai_nai,60,false,
～に決まっている,～にきまっている,～임이 분명하다,ni_kimatte_iru,60,false,
～とは限らない,～とはかぎらない,～라고는 할 수 없다,to_wa_kagiranai,60,false,
～わけにはいかない,～わけにはいかない,～할 수는 없다,wake_ni_wa_ikanai,60,false,
～ものだ,～ものだ,～하는 법이다,mono_da,60,false,
～ものではない,～ものではない,～하는 것이 아니다,mono_dewa_nai,60,false,
～ことだ,～ことだ,～해야 한다,koto_da,60,false,
～ことはない,～ことはない,～할 필요는 없다,koto_wa_nai,60,false,
～だけでなく,～だけでなく,～뿐만 아니라,dake_de_naku,60,false,
～ばかりでなく,～ばかりでなく,～뿐만 아니라,bakari_de_naku,60,false,
～に加えて,～にくわえて,～에 더해서,ni_kuwaete,60,false,
～に比べて,～にくらべて,～에 비해서,ni_kurabete,60,false,
～に関して,～にかんして,～에 관해서,ni_kanshite,100,false
～を通して,～をとおして,～을 통해서,wo_tooshite,100,false
～をめぐって,～をめぐって,～을 둘러싸고,wo_megutte,60,false,
～に応じて,～におうじて,～에 따라서,ni_oujite,60,false,
～に従って,～にしたがって,～에 따라서,ni_shitagatte,60,false,
～につれて,～につれて,～함에 따라,ni_tsurete,60,false,
～とともに,～とともに,～와 함께/～함에 따라,to_tomoni,100,false,
～一方で,～いっぽうで,～하는 한편으로,ippou_de,60,false,
～うえで,～うえで,～한 후에,uede,100,false,
～うえに,～うえに,～뿐만 아니라,ueni,100,false,
～おそれがある,～おそれがある,～우려가 있다,osoregaaru,100,false,
～かわりに,～かわりに,～대신에,kawarini,100,false,
～くせに,～くせに,～주제에,kuseni,60,false,
～ことから,～ことから,～로부터,kotokara,60,false,
～際に,～さいに,～할 때,saini,60,false,
～次第だ,～しだいだ,～한 것이다,shidaida,100,false,
～次第で,～しだいで,～에 따라서,shidaide,100,false,
～末に,～すえに,～끝에,sueni,100,false,
～ずに,～ずに,～하지 않고,zuni,60,false,
～ずにはいられない,～ずにはいられない,～하지 않을 수 없다,zunihairarenai,60,false,
～せいか,～せいか,～탓인지,seika,100,false,
～だけあって,～だけあって,～답게,dakeatte,60,false,
～だけに,～だけに,～인 만큼,dakeni,60,false,
～だけでなく,～だけでなく,～뿐만 아니라,dakedenaku,60,false,
～たところ,～たところ,～해 보니,tatokoro,60,false,
～ついでに,～ついでに,～하는 김에,tsuideni,60,false,
～ということだ,～ということだ,～라는 것이다,toiukotoda,60,false,
～というものだ,～というものだ,～라는 것이다,toiumonoda,60,false,
～といえる,～といえる,～라고 할 수 있다,toieru,100,false,
～ないことには,～ないことには,～하지 않으면,naikotoniwa,100,false,
～ないではいられない,～ないではいられない,～하지 않을 수 없다,naidehairarenai,60,false,
～にあたって,～にあたって,～함에 있어서,niatatte,100,false,
～にわたって,～にわたって,～에 걸쳐,niwatatte,60,false,
～にわたり,～にわたり,～에 걸쳐,niwatari,100,false,
～に関わる,～にかかわる,～에 관계되다,nikakawaru,100,false,
～に基づいて,～にもとづいて,～에 근거하여,nimotozuite,60,false,
～に応えて,～にこたえて,～에 응하여,nikotaete,60,false,
～に反して,～にはんして,～에 반하여,nihanshite,60,false,
～にほかならない,～にほかならない,～에 다름 아니다,nihokanarani_n2,60,false,
～ぬきで,～ぬきで,～없이,nukide,100,false,
～のみならず,～のみならず,～뿐만 아니라,nominarazu,60,false,
～ばかりか,～ばかりか,～뿐만 아니라,bakarika,100,false,
～ばかりでなく,～ばかりでなく,～뿐만 아니라,bakaridenaku,60,false,
～ものの,～ものの,～이지만,monono,60,false,
～ものなら,～ものなら,～할 수 있다면,mononara,60,false,
～わけにはいかない,～わけにはいかない,～할 수는 없다,wakenihaikanai,60,false,
～を通して,～をとおして,～을 통해서,wotooshite,100,false,
～を中心に,～をちゅうしんに,～을 중심으로,wochuushinni,60,false,
