word,hiragana,meaning,romaji,score,used,day
踏む,ふむ,밟다,fumu,60,false,
～区,～く,"～ 지구, ～ 구, ～ 자치구",～ku,50,false,
すっと,すっと,"똑바로, 빠르게",sutto,50,false,
盗む,ぬすむ,"훔치다, 도둑질하다",nusumu,60,false,
大抵,たいてい,"일반적으로, 보통",taitei,70,false,
とうとう,とうとう,"드디어, 마침내",toutou,60,false,
ガソリン,ガソリン,휘발유,gasorin,50,false,
鳴る,なる,"소리를 내다, 울리다 (v.i.)",naru,60,false,
しっかり,しっかり,"확고히, 꾸준하게",shikkari,50,false,
生きる,いきる,살기 위해,ikiru,60,false,
苦い,にがい,격렬한,nigai,60,false,
沸く,わく,"끓이다, 뜨거워지다",waku,60,false,
意見,いけん,"의견, 견해, 생각",iken,60,false,
やはり; やっぱり,やはり; やっぱり,내 생각대로 절대,yahari;_yappari,50,false,
漫画,まんが,만화(책),manga,60,false,
ステレオ,ステレオ,스테레오 재생,sutereo,50,false,
医学,いがく,의학,igaku,60,false,
テキスト,テキスト,"텍스트, 교과서",tekisuto,50,false,
～月,～つき,월,～tsuki,60,false,
折る,おる,"부러지다, 구부리다",oru,60,false,
～会,～かい,～ 회의,～kai,60,false,
うかがう,うかがう,묻다,ukagau,50,false,
聞こえる,きこえる,들리다,kikoeru,60,false,
僕,ぼく,I (남성이 동등하거나 낮은 지위에 있는 사람에게 사용함),boku,60,false,
必ず,かならず,확실히,kanarazu,60,false,
壊す,こわす,무너지다,kowasu,60,false,
怒る,おこる,"화를 내다, 화를 내며 꾸짖다",okoru,60,false,
床屋,とこや,이발소(가게),tokoya,60,false,
オートバイ,オートバイ,오토바이 (lit: auto-bi(ke)),ootobai,50,false,
運動,うんどうする,운동,undousuru,60,false,
止む,やむ,멈추다,yamu,60,false,
もし,もし,만약에,moshi,60,false,
表,おもて,"표면, 앞쪽, 밖의",omote,70,false,
大学生,だいがくせい,대학생,daigakusei,60,false,
運転手,うんてんしゅ,운전자 (직업별),untenshu,60,false,
予習,よしゅう,수업 준비 (수업을 위해),yoshuu,60,false,
心配,しんぱいする,걱정,shinpaisuru,60,false,
別,べつ,"구별하다, 다르다",betsu,60,false,
非常に,ひじょうに,"극도로, 매우",hijouni,60,false,
お宅,おたく,"(다른 사람의) 집, home -- 가(いえ)에 대한 공손한 단어 --",otaku,60,false,
柔らかい,やわらかい,"부드러운 (질감과 관련하여), 부드러운",yawarakai,60,false,
拾う,ひろう,"(무엇을) 집어들다, 찾다",hirou,60,false,
～ございます,～ございます,(정중하게) 존재하다,～gozaimasu,60,false,
気,き,"정신, 기분",ki,70,false,
比べる,くらべる,비교하다,kuraberu,60,false,
ほとんど,ほとんど,"대부분, 거의",hotondo,60,false,
つもり,つもり,"의도, 계획",tsumori,50,false,
郊外,こうがい,"교외, 외곽",kougai,60,false,
だめ,だめ,"쓸모없는, 좋지 않은, 희망이 없는",dame,50,false,
売り場,うりば,물건 파는 곳,uriba,60,false,
正月,しょうがつ,"새해, 설날",shougatsu,50,false,
規則,きそく,"규칙, 규제",kisoku,60,false,
うん,うん,"네 (비공식), 알았어 (ok)",un,50,false,
発音,はつおん,발음,hatsuon,60,false,
焼く,やく,굽다,yaku,60,false,
屋上,おくじょう,옥상,okujou,60,false,
失礼,しつれい,"무례함, 실례합니다",shitsurei,60,false,
ごみ,ごみ,쓰레기,gomi,50,false,
アフリカ,アフリカ,아프리카,afurika,50,false,
点,てん,"점수, 등급, 점",ten,60,false,
一生懸命,いっしょうけんめい,"(""열심히 일하다""에서와 같이) 매우 열심히, 최선을 다해",isshoukenmei,60,false,
今度,こんど,"지금, 이번에, 가까운 미래, 요즘 중 하나, 다음 번에",kondo,60,false,
機会,きかい,기회,kikai,60,false,
建てる,たてる,구축하다,tateru,60,false,
複雑,ふくざつ,복잡함,fukuzatsu,60,false,
彼,かれ,"그, 남자친구",kare,60,false,
いらっしゃる,いらっしゃる,"-- いKU, KURU, いRU에 대한 경어 표현 --",irassharu,60,false,
布団,ふとん,이불,futon,60,false,
大事,だいじ,"중요한, 귀중한, 심각한 문제",daiji,60,false,
贈り物,おくりもの,선물,okurimono,60,false,
泥棒,どろぼう,"도둑, 강도",dorobou,60,false,
～製,～せい,～에서 만든,～sei,60,false,
注意,ちゅうい,주의,chuui,60,false,
台風,たいふう,태풍,taifuu,50,false,
日,ひ,"태양, 햇빛, 낮",hi,60,false,
～軒,～けん,주택용 카운터,～ken,60,false,
そう,そう,"정말 그렇습니까? 응, 그렇지",sou,50,false,
通る,とおる,"(을) 지나가다, 지나가다",tooru,60,false,
過ぎる,すぎる,"초과하다, 넘어서다",sugiru,60,false,
レポート; リポート,レポート; リポート,보고서,repooto;_ripooto,50,false,
葉,は,잎,ha,60,false,
必要,ひつよう,필요한,hitsuyou,50,false,
課長,かちょう,과장,kachou,60,false,
地震,じしん,지진,jishin,60,false,
すると,すると,그런 다음,suruto,50,false,
止める,やめる,"끝내다, 멈추다",yameru,60,false,
ガラス,ガラス,"유리, 판유리",garasu,50,false,
～学部,～がくぶ,대학의 학과,～gakubu,60,false,
厳しい,きびしい,"딱딱한, 엄밀한, 엄격한",kibishii,60,false,
エスカレーター,エスカレーター,에스컬레이터,esukareetaa,50,false,
人口,じんこう,인구,jinkou,60,false,
月,つき,달,tsuki,60,false,
絹,きぬ,명주,kinu,60,false,
ちっとも,ちっとも,전혀 (부정 동사),chittomo,50,false,
深い,ふかい,"깊은, 심오한",fukai,60,false,
壊れる,こわれる,부서지다,kowareru,60,false,
揺れる,ゆれる,흔들리다,yureru,60,false,
落る,おちる,떨어지다,ochiru,50,false,
できるだけ,できるだけ,"가능하다면, 최대한",dekirudake,50,false,
悲しい,かなしい,슬프다,kanashii,60,false,
中学校,ちゅうがっこう,중학생,chuugakkou,60,false,
ガス,ガス,가스,gasu,50,false,
祈る,いのる,"기도하다, 소원하다",inoru,60,false,
盛ん,さかん,"번영하는, 활동적인",sakan,60,false,
アルバイト,アルバイト,아르바이트,arubaito,50,false,
起こす,おこす,(누군가를) 깨우다,okosu,60,false,
致す,いたす,-- '수루'에 대한 매우 겸손한 표현 --,itasu,50,false,
噛む,かむ,"물다, 씹다",kamu,60,false,
赤ちゃん,あかちゃん,"아기, 유아",akachan,60,false,
浅い,あさい,"얕은, 피상적인",asai,60,false,
嘘,うそ,거짓말하다,uso,60,false,
小説,しょうせつ,소설,shousetsu,60,false,
親,おや,부모,oya,60,false,
それに,それに,게다가,soreni,60,false,
西洋,せいよう,"서쪽, 서방 국가",seiyou,60,false,
思う,おもう,"생각하다, 느끼다",omou,60,false,
パート (タイム),パート (タイム),파트타임(특히 여성 파트타임 직원),paato_(taimu),50,false,
時代,じだい,"나이, 기간, 시대",jidai,60,false,
申し上げる,もうしあげる,"(겸손하게) 말하다, 말하다",moushiageru,60,false,
～式,～しき,"～ 의식, ～ 스타일",～shiki,60,false,
出席,しゅっせきする,출석,shussekisuru,60,false,
～家,～か,～을 전문으로 하는 사람,～ka,60,false,
迎える,むかえる,"환영하다, 만나다, 인사하다",mukaeru,60,false,
触る,さわる,"만지다, 느끼다",sawaru,60,false,
建て,～だて,"～ 층별, 별도의 주택",～date,50,false,
社長,しゃちょう,회사의 사장,shachou,60,false,
動物園,どうぶつえん,동물원,doubutsuen,60,false,
捕まえる,つかまえる,"붙잡다, 체포하다",tsukamaeru,60,false,
季節,きせつ,계절 (날씨를 기준으로),kisetsu,60,false,
寄る,よる,들르다,yoru,60,false,
決まる,きまる,"설정, 고정 (v.i.)",kimaru,50,false,
開く,ひらく,"열다, (행사를) 개최하다",hiraku,70,false,
逃げる,にげる,"탈출하다, 도망가다",nigeru,60,false,
だから,だから,"그래서, 그러므로",dakara,60,false,
残念,ざんねん,"후회, 유감스럽다",zannen,60,false,
畳,たたみ,다다미(일본식 밀짚자리),tatami,60,false,
丁寧,ていねい,"공손한, 정중한, 조심스러운",teinei,60,false,
地理,ちり,지리학,chiri,60,false,
さっき,さっき,조금 전에,sakki,60,false,
怖い,こわい,무서운,kowai,60,false,
包む,つつむ,"감싸다, 덮다",tsutsumu,60,false,
なるべく,なるべく,가능하다면 최대한,narubeku,60,false,
無理,むり,"불합리한, 불가능한",muri,60,false,
サンドイッチ,サンドイッチ,샌드위치,sandoitchi,50,false,
会議室,かいぎしつ,회의실,kaigishitsu,60,false,
品物,しなもの,상품,shinamono,60,false,
人形,にんぎょう,"인형, 피규어",ningyou,60,false,
利用,りよう,"사용, 활용",riyou,60,false,
飾る,かざる,장식하다,kazaru,60,false,
止める,とめる,(무엇을) 멈추다,tomeru,60,false,
恥ずかしい,はずかしい,"부끄럽다, 창피하다",hazukashii,60,false,
いくら～ても,いくら～ても,아무리 많아도 ～,ikura～temo,50,false,
用事,ようじ,"처리할 사업, 작업, 심부름",youji,60,false,
ビル,ビル,(약어) 건물,biru,50,false,
けんかする,けんかする,싸움,kenkasuru,50,false,
頑張る,がんばる,"최선을 다하다, 열심히 노력하다, 지속하다",ganbaru,60,false,
投げる,なげる,"던지다, 내쫓다",nageru,60,false,
故障,こしょうする,고장,koshousuru,60,false,
力,ちから,"힘, 권력",chikara,70,false,
受ける,うける,"(시험, 면접 등을) 치르다, 받다",ukeru,60,false,
気分,きぶん,기분,kibun,60,false,
間違える,まちがえる,실수하다,machigaeru,60,false,
そんな,そんな,"그런, 저런",sonna,60,false,
星,ほし,별,hoshi,60,false,
場合,ばあい,"사건, 상황",baai,50,false,
やっと,やっと,드디어,yatto,60,false,
足りる,たりる,충분하다,tariru,60,false,
行う,おこなう,"수행하다, 지휘하다 (일반적으로 서면 언어로 사용됨)",okonau,60,false,
ぶどう,ぶどう,포도,budou,60,false,
無くなる,なくなる,"사라지다, 길을 잃다",nakunaru,60,false,
準備,じゅんびする,준비하다,junbisuru,60,false,
世界,せかい,세계,sekai,60,false,
住所,じゅうしょ,"주소, 거주지",juusho,60,false,
再来月,さらいげつ,다음 달 다음 달,saraigetsu,50,false,
林,はやし,숲,hayashi,60,false,
倍,ばい,더블,bai,60,false,
痩せる,やせる,체중 감량,yaseru,60,false,
線,せん,"선, 와이어",sen,60,false,
戦争,せんそう,전쟁,sensou,60,false,
決める,きめる,결정하다 (동사),kimeru,60,false,
調べる,しらべる,"확인하다, 찾아보다, 문의하다, 검색하다",shiraberu,60,false,
寝坊,ねぼう,늦잠을 자다,nebou,60,false,
パパ,パパ,아빠,papa,50,false,
光る,ひかる,"빛나다, 반짝거리다",hikaru,60,false,
夫,おっと,남편,otto,60,false,
雲,くも,구름,kumo,60,false,
坂,さか,"경사면, 언덕",saka,60,false,
～(て) しまう,～(て) しまう,～을 끝내다,～(te)_shimau,50,false,
飛行場,ひこうじょう,공항,hikoujou,60,false,
柔道,じゅうどう,유도,juudou,60,false,
決して,けっして,절대,kesshite,50,false,
事務所,じむしょ,사무실,jimusho,60,false,
連絡,れんらく,"소통, 접촉, 연결",renraku,60,false,
小学校,しょうがっこう,초등학교,shougakkou,60,false,
客,きゃく,"손님, 고객",kyaku,60,false,
昔,むかし,"옛날, 과거",mukashi,60,false,
美しい,うつくしい,"아름답다, 사랑스럽다",utsukushii,60,false,
捨てる,すてる,"(쓰레기를) 버리다, 버리다",suteru,60,false,
なさる,なさる,-- sururu에 대한 경어 표현 --,nasaru,60,false,
事,こと,"사물, 문제, 사실",koto,60,false,
どんどん,どんどん,"빠르고 꾸준히, 빠른 속도로",dondon,60,false,
試合,しあい,"시합, 게임, 경쟁",shiai,60,false,
適当,てきとう,"체력, 적합성",tekitou,60,false,
素晴らしい,すばらしい,"아주 멋진, 훌륭한",subarashii,60,false,
美術館,びじゅつかん,미술관,bijutsukan,60,false,
文法,ぶんぽう,문법,bunpou,60,false,
終わり,おわり,끝,owari,60,false,
壁,かべ,벽,kabe,60,false,
一度,いちど,한 번,ichido,60,false,
お礼,おれい,"감사의 표현, 감사합니다, 감사의 선물, 절하다",orei,60,false,
親切,しんせつ,친절,shinsetsu,60,false,
知らせる,しらせる,통지하다,shiraseru,60,false,
歯医者,はいしゃ,치과 의사,haisha,60,false,
